site,datetime,value
trgw_003_008,2016-10-12,36.8889826792483
trgw_003_008,2016-10-13,37.64625579438695
trgw_003_008,2016-10-14,37.210829207011294
trgw_003_008,2016-10-15,37.265172636033085
trgw_003_008,2016-10-16,37.53073100918219
trgw_003_008,2016-10-17,37.43088094969995
trgw_003_008,2016-10-18,36.968298946119155
trgw_003_008,2016-10-19,37.41747626856375
trgw_003_008,2016-10-20,37.27825625294071
trgw_003_008,2016-10-21,37.170474380480826
trgw_003_008,2016-10-22,37.24284218282756
trgw_003_008,2016-10-23,37.492630404125606
trgw_003_008,2016-10-24,37.05932170359181
trgw_003_008,2016-10-25,37.31538413582083
trgw_003_008,2016-10-26,37.230581552693415
trgw_003_008,2016-10-27,36.86855707692088
trgw_003_008,2016-10-28,37.064309365653834
trgw_003_008,2016-10-29,37.270370710646745
trgw_003_008,2016-10-30,37.48781241781858
trgw_003_008,2016-10-31,37.42364320346935
trgw_003_008,2016-11-01,37.34108750088069
trgw_003_008,2016-11-02,37.05563486777271
trgw_003_008,2016-11-03,37.574197798161705
trgw_003_008,2016-11-04,37.25413009352792
trgw_003_008,2016-11-05,37.00731489566429
trgw_003_008,2016-11-06,37.16894900382861
trgw_003_008,2016-11-07,37.38403968507124
trgw_003_008,2016-11-08,37.21144649966363
trgw_003_008,2016-11-09,37.39223993731655
trgw_003_008,2016-11-10,37.43361879149243
trgw_003_008,2016-11-11,37.322666136919736
trgw_003_008,2016-11-12,37.07291647539063
trgw_003_008,2016-11-13,37.267935932638
trgw_003_008,2016-11-14,37.24958817118777
trgw_003_008,2016-11-15,37.642999266770325
trgw_003_008,2016-11-16,36.94749061243463
trgw_003_008,2016-11-17,37.24683550978113
trgw_003_008,2016-11-18,37.15514129064102
trgw_003_008,2016-11-19,37.3395581240392
trgw_003_008,2016-11-20,36.78304112816013
trgw_003_008,2016-11-21,37.49751691189805
trgw_003_008,2016-11-22,37.27429969746711
trgw_003_008,2016-11-23,36.902309767274396
trgw_003_008,2016-11-24,37.198220373052024
trgw_003_008,2016-11-25,37.398136468330904
trgw_003_008,2016-11-26,36.9583444249084
trgw_003_008,2016-11-27,37.27562444328863
trgw_003_008,2016-11-28,37.0593182704397
trgw_003_008,2016-11-29,37.154632993624205
trgw_003_008,2016-11-30,37.26896767653493
trgw_003_008,2016-12-01,37.297627050716315
trgw_003_008,2016-12-02,37.16829150036346
trgw_003_008,2016-12-03,37.315629277906055
trgw_003_008,2016-12-04,37.43022752145096
trgw_003_008,2016-12-05,37.217441144979354
trgw_003_008,2016-12-06,37.56113555148986
trgw_003_008,2016-12-07,37.58237283415608
trgw_003_008,2016-12-08,37.23571658688284
trgw_003_008,2016-12-09,37.19053188870529
trgw_003_008,2016-12-10,37.01597740296677
trgw_003_008,2016-12-11,37.32758013367212
trgw_003_008,2016-12-12,37.31250244397679
trgw_003_008,2016-12-13,37.542470244026596
trgw_003_008,2016-12-14,37.08643767878634
trgw_003_008,2016-12-15,37.329073721651376
trgw_003_008,2016-12-16,37.57776687862223
trgw_003_008,2016-12-17,37.234864580888406
trgw_003_008,2016-12-18,37.23740769265448
trgw_003_008,2016-12-19,37.121241933048836
trgw_003_008,2016-12-20,37.92998476920365
trgw_003_008,2016-12-21,37.25282236438692
trgw_003_008,2016-12-22,37.153550633556335
trgw_003_008,2016-12-23,37.249409919193695
trgw_003_008,2016-12-24,37.25395398390264
trgw_003_008,2016-12-25,37.36301904430975
trgw_003_008,2016-12-26,37.579629446417506
trgw_003_008,2016-12-27,37.35174236620084
trgw_003_008,2016-12-28,37.225763337000636
trgw_003_008,2016-12-29,37.120110300361794
trgw_003_008,2016-12-30,37.43522147164397
trgw_003_008,2016-12-31,37.444787814805956
trgw_003_008,2017-01-01,37.74261047020577
trgw_003_008,2017-01-02,37.45964954709396
trgw_003_008,2017-01-03,37.43206833774318
trgw_003_008,2017-01-04,37.2408232326825
trgw_003_008,2017-01-05,37.39585948498032
trgw_003_008,2017-01-06,37.370885108393075
trgw_003_008,2017-01-07,37.38337716709726
trgw_003_008,2017-01-08,37.26461592147188
trgw_003_008,2017-01-09,37.57719792065524
trgw_003_008,2017-01-10,37.445290916498124
trgw_003_008,2017-01-11,37.478053303999005
trgw_003_008,2017-01-12,37.1735327767902
trgw_003_008,2017-01-13,37.620788817504966
trgw_003_008,2017-01-14,37.64563606519608
trgw_003_008,2017-01-15,37.399858119431556
trgw_003_008,2017-01-16,37.77023427677584
trgw_003_008,2017-01-17,37.30520435398351
trgw_003_008,2017-01-18,37.579889018242184
trgw_003_008,2017-01-19,37.52701153202197
trgw_003_008,2017-01-20,37.316288042238845
trgw_003_008,2017-01-21,37.663104522416
trgw_003_008,2017-01-22,37.96361803044836
trgw_003_008,2017-01-23,37.64238384601339
